ILN	ELN	Name der Einrichtung	ISIL
0001	1999	GBV/VZG	
0011	0001	SBB-PK Berlin	DE-1a
0019	2004	ZDB	
0019	2012	GND	
0019	2014	Basisklassifikation	
0019	2015	IKAR	
0019	2028	VD17	
0019	2034	VD16	
0019	2049	VD18	
0020	0084	Universitätsbibliothek Braunschweig	DE-84
0021	0046	Staats- und  Universitätsbibliothek Bremen	DE-46
0022	0018	Staats- und Universitätsbibliothek Carl von Ossietzky , Hamburg	DE-18
0022	0018/0006	Universität Hamburg, Institut für Angewandte Botanik 	
0022	0018/0008	Universität Hamburg, Geographische Gesellschaft 	
0022	0018/0012	Universität Hamburg, Institut für Romanistik, Französisch-Italienische Abteilung	
0022	0018/0015	Universität Hamburg, Hamburger Sternwarte am Fachbereich Physik der Universität Hamburg, Fachbibliothek Astronomie und Astrophysik	DE-18-15
0022	0018/0019	Universität Hamburg, Fachbereichsbibliothek Biologie, Standort Grindel	DE-18-19
0022	0018/0021	Universität Hamburg, Institut für Germanistik, Bibliothek 	DE-18-21
0022	0018/0024	Universität Hamburg, Bibliothek des Instituts für Geologie 	DE-18-24
0022	0018/0039	Universität Hamburg, Institut für Anglistik und Amerikanistik, Bibliothek 	DE-18-39 
0022	0018/0045	Universität Hamburg, Philosophisches Seminar	
0022	0018/0047	Universität Hamburg, Physikalische Institute Jungiusstraße, Bibliothek 	DE-18-47 
0022	0018/0048	Universität Hamburg, Department Chemie der Universität Hamburg, Bibliothek 	DE-18-48
0022	0018/0053	Universität Hamburg, Institut für Alte Geschichte 	
0022	0018/0054	Universität Hamburg, Institut für Griechisch, Latein Philologie	
0022	0018/0055	Universität Hamburg, Asien Afrika Institut 	
0022	0018/0057	Universität Hamburg, Institut für Geographie, Bibliothek	DE-18-57
0022	0018/0059	Universität Hamburg, Institut für Slavistik, Bibliothek 	DE-18-59 
0022	0018/0060	Universität Hamburg, Historisches Seminar	
0022	0018/0061	Universität Hamburg,Fachbereichsbibliothek SLM, Teilbibliothek Spanisch/Portugiesisch 	DE-18-61
0022	0018/0064	Universität Hamburg, Universitätsklinikum Hamburg-Eppendorf, Ärztliche Zentralbibliothek	DE-18-64
0022	0018/0069	Universität Hamburg, Fachbereich Erziehungswissenschaften	
0022	0018/0070	Universität Hamburg, Seminar Deutsches Nord. Recht 	
0022	0018/0071	Universität Hamburg, Institut für Kriminalwissenschaften	
0022	0018/0073	Universität Hamburg, Institut für Seerecht und Seehandelsrecht (ISSR)	
0022	0018/0074	Universität Hamburg, Fachbereich Psychologie 	
0022	0018/0075	Universität Hamburg, Institut für Allgemeine Botanik	
0022	0018/0076	Universität Hamburg, Fachbibliothek Sozialwissenschaften 	DE-18-76
0022	0018/0079	Universität Hamburg, Seminar Römisches Recht 	
0022	0018/0081	Universität Hamburg, Seminar für Kunstgeschichte	
0022	0018/0088	Universität Hamburg, Institut für  Internationale Angelegenheiten	
0022	0018/0114	Universität Hamburg, Universität Hamburg, Musikwissenschaftliches Institut, Bibliothek	DE-18-114 
0022	0018/0131	Universität Hamburg, Institut für Volkskunde 	
0022	0018/0133	Universität Hamburg,  Seminar für Arbeitsrecht 	
0022	0018/0141	Universität Hamburg, Institut für Hydrobiologie 	
0022	0018/0148	Universität Hamburg, Institut für Kriminalwissenschaften	
0022	0018/0156	Universität Hamburg, Fachbereichsbibliothek Sprache Literatur Medien, Teilbibliothek Niederländisch	DE-18-156 
0022	0018/0161	Universität Hamburg, Theologische Bibliothek, Fachbereich Evangelische Theologie und Institut für Katholische Theologie	DE-18-161
0022	0018/0172	Universität Hamburg, Seminar für Rechtsphilosophie	
0022	0018/0214	Universität Hamburg, Fachbereich Sport	
0022	0018/0219	Universität Hamburg, Institut für Finno-Ugristik / Uralistik, Bibliothek 	DE-18-219
0022	0018/0226	Universität Hamburg, Institut für Friedensforschung und Sicherheitspolitik, Bibliothek 	DE-18-226 
0022	0018/0227	Universität Hamburg, Geschichte der Juden 	
0022	0018/0228	Universität Hamburg, Department Informatik, Bibliothek	DE-18-228
0022	0018/0232	Universität Hamburg, Institut für Erziehungswissenschaften	
0022	0018/0235	Universität Hamburg, Institut für  Geschichte der Naturwissenschaften	
0022	0018/0240	Universität Hamburg, Institut für Meereskunde	
0022	0018/0241	Universität Hamburg, Seminar Fin Steuerrecht	
0022	0018/0242	Universität Hamburg, Seminar Verwaltung	
0022	0018/0250	Universität Hamburg, Forschung Zeitgeschichte	
0022	0018/0254	Universität Hamburg, Stiftung Europa-Kolleg, Institut für Integrationsforschung, Bibliothek 	DE-18-254
0022	0018/0261	Universität Hamburg, Fakultät für Wirtschafts- und Sozialwissenschaften, Fachbibliothek Wirtschaftswissenschaften 	DE-18-261
0022	0018/0263	Universität Hamburg, Bibliothek - Mathematik und Geschichte der Naturwissenschaften 	DE-18-263
0022	0018/0264	Universität Hamburg, Seminar Dt. Nord. Rechts.	
0022	0018/0267	Universität Hamburg, Institut für Recht Esa 	
0022	0018/0269	Universität Hamburg, Physikalische Institute Bahrenfeld	DE-18-269
0022	0018/0270	Universität Hamburg, Physikalische Institute Bahrenfeld, Theoretische Physik	DE-18-270
0022	0018/0271	Universität Hamburg, Metereologisches Institut	
0022	0018/0273	Universität Hamburg, Seminar für Bürgerles Recht 	
0022	0018/0276	Universität Hamburg, Seminar Allgemeines Prozeßrecht	
0022	0018/0278	Universität Hamburg, Institut für Allgemeine und Angewandte Sprachwissenschaft, Abteilung für Sprachlehrforschung, Bibliothek für Sprachlehrforschung	DE-18-278
0022	0018/0289	Universität Hamburg, Institut für Seerecht 	
0022	0018/0290	Universität Hamburg, Fachbereichsbibliothek Sprache Literatur Medien, Teilbibliothek Exilliteratur	 DE-18-290
0022	0018/0291	Universität Hamburg, Regionales Rechnenzentrum	
0022	0018/0292	Universität Hamburg, Institut für Ethnologie	
0022	0018/0294	Universität Hamburg, FB Sprache Literatur Medien, Teilbibliothek Allgemeine Sprachwissenschaft/Indogermanistik 	DE-18-294
0022	0018/0295	Universität Hamburg, Institut für Deutsche Gebärdensprache und Kommunikation Gehörloser	DE-18-295
0022	0018/0296	Universität Hamburg, Hamburger Bibliothek für Universitätsgeschichte	DE-18-296 
0022	0018/0297	Universität Hamburg, Zentrum für Molekulare Neurobiologie, Bibliothek 	DE-18-297
0022	0018/0303	Universität Hamburg, Asien-Afrika-Institut, Bibliothek	DE-18-303
0022	0018/0304	Universität Hamburg, Zentralbibliothek Recht 	DE-18-304
